feature,pearson_corr,pearson_p,spearman_corr,spearman_p,kendall_corr,kendall_p,abs_pearson
AI Score (Uniform 0-100),0.38605335558958026,8.54494949821819e-36,0.37941148329601454,1.5486548250824624e-34,0.32436068364281584,3.699175454288785e-32,0.38605335558958026
AI Score (0-100),0.3813230288113998,6.773306646488668e-35,0.37941148329601454,1.5486548250824624e-34,0.32436068364281584,3.699175454288785e-32,0.3813230288113998
Experience (Years),0.24333774029288036,1.581409836922108e-14,0.24252632063669574,1.942776983445967e-14,0.21001391317008863,4.500431943531732e-14,0.24333774029288036
Projects Count,0.22143152828204765,3.153627598703768e-12,0.22325355632624552,2.0720771806054526e-12,0.19079312462913317,3.757340384709025e-12,0.22143152828204765
feat_job_tech,0.151355922453873,2.215175687086369e-06,0.15135592245387297,2.215175687086372e-06,0.15135592245387294,2.4882377243990175e-06,0.151355922453873
feat_skill_deep_learning,0.14661792816782024,4.5850133523558244e-06,0.14661792816782038,4.585013352355428e-06,0.14661792816782038,5.0746097116194325e-06,0.14661792816782024
feat_years_experience_extracted,-0.14310085152655735,7.755065382162327e-06,-0.14783300266418245,3.812816612877401e-06,-0.1314501717085275,4.235394891945911e-06,0.14310085152655735
feat_num_skills_matched,0.1381250702326751,1.597398210832391e-05,0.14731530328937945,4.125242060418052e-06,0.13862422885472,4.57526942378642e-06,0.1381250702326751
feat_skill_tableau,-0.11063168929099361,0.0005606323772930755,-0.11063168929099365,0.000560632377293056,-0.11063168929099366,0.0005773227190677686,0.11063168929099361
feat_job_product,-0.10548779775084664,0.0010067062914947682,-0.1054877977508467,0.0010067062914947621,-0.10548779775084668,0.0010306993758394708,0.10548779775084664
feat_skill_project_management,-0.10517037361984118,0.0010428843961696682,-0.10517037361984123,0.001042884396169678,-0.10517037361984123,0.0010673893090145839,0.10517037361984118
feat_skill_sql,0.10072655564886124,0.001692748097026876,0.10072655564886117,0.001692748097026824,0.10072655564886117,0.00172514361374514,0.10072655564886124
text_len,0.09232215314785833,0.00402354432835553,0.09156745484181648,0.004334986433876082,0.0748217642613062,0.004386920516978288,0.09232215314785833
feat_skill_python,0.09181426954268354,0.004230811032431853,0.09181426954268358,0.004230811032431735,0.09181426954268355,0.004282190223902286,0.09181426954268354
feat_cert_azure,0.08952459474550913,0.005290463957194654,0.08952459474550903,0.005290463957195034,0.08952459474550901,0.005346969030979976,0.08952459474550913
feat_cert_pmp,-0.08233397230657578,0.010347325360317926,-0.08233397230657583,0.010347325360317407,-0.08233397230657581,0.01041816291577616,0.08233397230657578
feat_cert_csm,-0.0787165345798694,0.014246404319028936,-0.0787165345798694,0.014246404319029106,-0.0787165345798694,0.014322012369185387,0.0787165345798694
feat_skill_excel,-0.0775992808803348,0.015687933319820654,-0.0775992808803348,0.01568793331982016,-0.0775992808803348,0.01576447946596866,0.0775992808803348
feat_skill_nlp,0.071733706000128,0.02555048936575572,0.071733706000128,0.025550489365755696,0.07173370600012799,0.02562625642947962,0.071733706000128
feat_job_sales,-0.07152166628923612,0.02599013963585687,-0.07152166628923627,0.025990139635855843,-0.07152166628923624,0.026065665653403774,0.07152166628923612
feat_job_design,0.07057668566140896,0.02802978803077233,0.07057668566140884,0.02802978803077098,0.07057668566140884,0.028104032396480898,0.07057668566140896
feat_job_marketing,-0.0647284399969141,0.043964576600385434,-0.06472843999691417,0.043964576600386204,-0.06472843999691416,0.04402250875774315,0.0647284399969141
feat_skill_machine_learning,0.06216783251479989,0.05304167917607125,0.062167832514799966,0.05304167917606929,0.06216783251479996,0.0530874336409274,0.06216783251479989
feat_cert_gcp,0.05797938299700058,0.0712290016217698,0.057979382997000575,0.07122900162176803,0.05797938299700057,0.07124776034605683,0.05797938299700058
feat_text_len_chars,-0.05339020352498121,0.0967113053844423,-0.05625140910494485,0.08009026052450653,-0.046557255992050996,0.08009534515448016,0.05339020352498121
feat_cert_aws,-0.05299285728670986,0.09922316216524314,-0.05299285728670984,0.09922316216524324,-0.05299285728670984,0.09919870133114075,0.05299285728670986
feat_salary_extracted,-0.05203817122812784,0.1054709203916715,-0.05930380224748953,0.06499455531818302,-0.048446536504195246,0.06502280245535517,0.05203817122812784
feat_cert_six_sigma,-0.0508503010216814,0.11367528504534712,-0.05085030102168145,0.11367528504534662,-0.05085030102168144,0.11362900839141252,0.0508503010216814
feat_cert_cpa,0.03996741378028197,0.21385787545269108,0.03996741378028199,0.21385787545269597,0.039967413780281985,0.2136858175655093,0.03996741378028197
feat_text_len_words,0.03070810833194729,0.33962986925810495,0.02415738662544318,0.45257527348045434,0.02148156880307437,0.45229075090969895,0.03070810833194729
feat_cert_cfa,0.02653844813140143,0.4092647852219869,0.02653844813140145,0.4092647852219875,0.026538448131401448,0.40898409031780725,0.02653844813140143
Resume_ID,0.026372278711313864,0.4122050165082935,0.025511947776121806,0.4276266637399948,0.02090715200110599,0.42734358513816084,0.026372278711313864
feat_degree_mba,0.024592534418662604,0.444472394424145,0.02459253441866255,0.44447239442414677,0.02459253441866254,0.44418812039363986,0.024592534418662604
feat_top_degree_level,0.024250673958043943,0.4508311885850108,0.026650102853128542,0.4072961634562504,0.02451346839141851,0.4070157929975158,0.024250673958043943
feat_job_operations,-0.02396908224298167,0.4561073494988918,-0.02396908224298165,0.45610734949889264,-0.023969082242981648,0.45582278344752214,0.02396908224298167
feat_job_finance,0.023583501803272993,0.46338786010991156,0.023583501803272965,0.4633878601099154,0.023583501803272962,0.4631033267822513,0.023583501803272993
